Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise,Data Inicio Esperada,Data Fim Esperada
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5890,[Story Bug] Divergência de volumetria nas tabelas,In Progress,2026-03-12T15:28:12.038-0300,2026-03-19T09:28:29.214-0300,0,Story Bug,2026-01-19,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5857,9 [Preparo PRD] Validação do Processo em PRD. (Responsável: Stellantis-Quem homologou / Apoio: DEV que desenvolveu / Quem desenvolveu).Adicionar evidência na história que o processo Rodou.,Done,2026-03-04T13:06:10.814-0300,2026-03-10T08:20:17.353-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5856,8 [Preparo Ambiente]Analisar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING),Done,2026-03-04T13:05:51.893-0300,2026-03-12T08:49:48.846-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5855,7 [Preparo Ambiente]Cópiar tabelas (Responsavel: STELLANTIS/Apoio: DEV),Done,2026-03-04T13:05:31.277-0300,2026-03-10T08:09:57.317-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5854,6 [Preparo Ambiente]Executar processo em PROD (Responsavel: DEVOPS/ Apoio: DEV),Done,2026-03-04T13:05:11.287-0300,2026-03-05T09:16:03.963-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5853,"5 [Preparo Ambiente]Listar Processos Fora do Framework (Lambda, Glue, Kafka, Snowflake, Airflow) (Responsavel: DEV/Apoio: DEVOPS)",Done,2026-03-04T13:04:47.564-0300,2026-03-04T13:11:30.491-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5852,4 [Preparo Ambiente]Incrementar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING),Done,2026-03-04T13:04:30.326-0300,2026-03-12T08:50:15.154-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5851,3 [Preparo Ambiente]Garantir chegada e acessos das interfaces em produção (Responsavel: STELLANTIS),Done,2026-03-04T13:04:10.643-0300,2026-03-10T08:09:32.369-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5850,2 [Preparo Ambiente]Estruturar a Entrada do Lakehousein ou Lakehouseout garantindo a execução correta do processo em PROD (Responsavel: STELLANTIS/ Apoio: DEV),Done,2026-03-04T13:03:29.602-0300,2026-03-10T08:21:43.206-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5849,1 [Preparo Ambiente] Verificar Execução Baseada em Eventos e Stagings que executam em outras DAGs (Responsavel: STELLANTIS/ Apoio: DEV),Done,2026-03-04T13:03:04.304-0300,2026-03-10T08:09:00.590-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
TOAWS-2482,[Brain/NOVAUS] Caixa Dagua,Brain/NOVAUS,TOAWS-5811,"[RN] Tabela de produção criada diferente da tabela de desenvolvimento, impactando na carga historica",Done,2026-02-19T22:01:20.933-0300,2026-02-20T10:14:45.629-0300,0,RN,2025-12-15,2026-02-06
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5808,[Story Bug] Diferença de dado na tabela DB_TL_CRM_S.TL_CORPORATIVO_CLIENTE_ARGENTINA.TB_CORP_SAP_ARGENTINA_BUT000,Done,2026-02-19T14:30:53.976-0300,2026-03-04T17:40:56.221-0300,0,Story Bug,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5807,[RN] Diferença de dado na tabela DB_TL_CRM_S.TL_CORPORATIVO_CLIENTE_ARGENTINA.TB_CORP_SAP_ARGENTINA_ADR6,Done,2026-02-19T13:54:28.323-0300,2026-02-24T14:11:24.086-0300,0,RN,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5806,[RN] Diferença de dado na tabela DB_TL_CRM_S.TL_CORPORATIVO_CLIENTE_ARGENTINA.TB_CORP_SAP_ARGENTINA_ADR3,Done,2026-02-19T13:31:44.613-0300,2026-02-24T14:11:18.085-0300,0,RN,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5804,[RN] Diferença de dado na tabela DB_TL_CRM_S.TL_CORPORATIVO_CLIENTE_ARGENTINA.TB_CORP_SAP_ARGENTINA_ADR2,Done,2026-02-19T11:45:59.104-0300,2026-03-05T14:12:53.374-0300,0,RN,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5776,"[RN-FMK] Retirar os prefixos ""st_"" das tabelas de staging",Done,2026-02-13T17:29:02.577-0300,2026-02-19T15:32:36.489-0300,0,RN-FMK,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5775,[Story Bug] Diferença no campos de data da tabela TL_CORPORATIVO_CLIENTE_ARGENTINA.TB_CORP_VEICULO_CLIENTE_ARGENTINA,Canceled,2026-02-13T14:39:14.654-0300,2026-02-16T09:37:18.550-0300,0,Story Bug,2026-01-19,2026-02-20
TOAWS-2503,[Brain/NOVAUS] Cliente Argentina,Brain/NOVAUS,TOAWS-5769,[Story Bug] Algumas dags dbt_rsa_crm--carga_cliente_argentina_bloco_3 executaram com erro,Done,2026-02-12T13:45:29.744-0300,2026-02-19T15:32:32.269-0300,0,Story Bug,2026-01-19,2026-02-20
TOAWS-1381,[Brain] - Stage,Brain,TOAWS-5731,Homologação DAGS [1] data-lake-brain-carga-dlt-mysql-bgq e [2]data-lake-brain-carga-dlt-mysql-marca-psa-bgq - 16/02/26,Done,2026-02-09T17:57:20.770-0300,2026-03-04T13:11:37.948-0300,0,Desenvolvimento/Outros,2025-08-11,2026-02-20
