Epico,Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3125,[QA] Testes / Data Quality,Open,2026-03-10T19:17:30.843-0300,2026-03-10T19:17:31.026-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3124,3.1 vw_sigma_question,Open,2026-03-10T19:17:29.212-0300,2026-03-10T19:17:29.362-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3123,[3] Views Analíticas,Open,2026-03-10T19:17:27.981-0300,2026-03-10T19:17:28.130-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3122,2.4 Analytics_Sigma.tb_sigma_wide VIEW via Cloud Function - Formato wide para análises - Origem: DataMart_Sigma.tb_sigma,Open,2026-03-10T19:17:26.483-0300,2026-03-10T19:17:26.637-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3121,2.3 Analytics_Sigma.tb_sigma_long VIEW via Cloud Function - Formato long para análises - Origem: DataMart_Sigma.tb_sigma,Open,2026-03-10T19:17:25.195-0300,2026-03-10T19:17:25.384-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3120,"2.3 Cloud Function: fn_load_bgq_analytics_sigma_long HTTP Operator, cria view Analytics formato long, SQL transformations",Open,2026-03-10T19:17:23.927-0300,2026-03-10T19:17:24.109-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3119,2.2 DataMart_Sigma.tb_sigma INSERT/UPDATE via Cloud Function - Dados processados Sigma - Origem: Staging_Sigma.tb_sigma,Open,2026-03-10T19:17:22.652-0300,2026-03-10T19:17:22.813-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3118,"2.1 Cloud Function: fn_load_dm_sigma HTTP Operator, processa Staging→DataMart, aplica transformações, insere via SQL",Open,2026-03-10T19:17:21.423-0300,2026-03-10T19:17:21.584-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3117,[2] DAG - data-lake-commercial-carga-sigma,Open,2026-03-10T19:17:20.148-0300,2026-03-10T19:17:20.348-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3116,1.1 Staging_Sigma.tb_sigma APPEND via Cloud Function - Pesquisas Ad-hoc Sigma - Dados brutos de questionários - Origem: Arquivos CSV GCS,Open,2026-03-10T19:17:18.916-0300,2026-03-10T19:17:19.075-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,COMERCIAL,BF3E4-3115,[1] Cloud Function Template - fn_load_gcs_bgq_adhoc,Open,2026-03-10T19:17:17.723-0300,2026-03-10T19:17:17.887-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3113,[QA] Testes / Data Quality,Open,2026-03-10T19:17:11.852-0300,2026-03-10T19:17:11.998-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3112,1.4 QFS.verbatim_teste,Open,2026-03-10T19:17:10.653-0300,2026-03-10T19:17:10.797-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3111,1.3 QFS.log,Open,2026-03-10T19:17:09.326-0300,2026-03-10T19:17:09.509-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3110,1.2 QFS.Verbatim,Open,2026-03-10T19:17:07.929-0300,2026-03-10T19:17:08.089-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3109,1.1 QFS.Respondent_Teste2,Open,2026-03-10T19:17:06.821-0300,2026-03-10T19:17:06.978-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3107,[COMERCIAL - 96] QFS Legacy - Testes e Logs - TAMANHO: M,COMERCIAL,BF3E4-3108,[1] Tabelas Legadas - Somente cópias,Open,2026-03-10T19:17:05.577-0300,2026-03-10T19:17:05.766-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3106,[QA] Testes / Data Quality,Open,2026-03-10T19:17:00.173-0300,2026-03-10T19:17:00.375-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3105,1.4 QFS.Respondent,Open,2026-03-10T19:16:58.933-0300,2026-03-10T19:16:59.157-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3104,1.3 QFS.Pesos,Open,2026-03-10T19:16:57.693-0300,2026-03-10T19:16:57.856-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3103,1.2 QFS.Checkbox,Open,2026-03-10T19:16:56.551-0300,2026-03-10T19:16:56.713-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3102,1.1 QFS.CSI_Servicos_Garantia,Open,2026-03-10T19:16:55.345-0300,2026-03-10T19:16:55.483-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3100,[COMERCIAL - 95] QFS Legacy - Base - TAMANHO: M,COMERCIAL,BF3E4-3101,[1] Tabelas Legadas - Somente cópias,Open,2026-03-10T19:16:54.310-0300,2026-03-10T19:16:54.476-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3099,[QA] Testes / Data Quality,Open,2026-03-10T19:16:49.003-0300,2026-03-10T19:16:49.183-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3098,1.6 QFS_Analytics.QFS_Tokens,Open,2026-03-10T19:16:47.814-0300,2026-03-10T19:16:47.977-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3097,1.5 QFS_Analytics.QFS_Correlacao_1,Open,2026-03-10T19:16:46.593-0300,2026-03-10T19:16:46.741-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3096,1.4 QFS_Analytics.QFS_Corr_Resp_Checkbox,Open,2026-03-10T19:16:45.387-0300,2026-03-10T19:16:45.560-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3095,1.3 QFS_Analytics.QFS_Atributos,Open,2026-03-10T19:16:44.159-0300,2026-03-10T19:16:44.336-0300,0,Desenvolvimento/Outros
