squad,lake,id_historia,numero,titulo,papel,recurso,duracao_dias_uteis,data_inicio,data_fim
Squad 1,BMC,[BMC - 1],1,Entidade: BMC - Tamanho M,Dev Fullstack,Dev 1,21.0,09/03/2026,06/04/2026
Squad 1,COMPRAS,[COMPRAS - 1],1,Entidade: Datamart Tratativa - Parte 1 (Dimensões Básicas 1-4) - TAMANHO: G,Dev Fullstack,Dev 2,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 2],2,Entidade: Datamart Tratativa - Parte 2 (Dimensões Básicas 5-8) - TAMANHO: G,Dev Fullstack,Dev 3,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 3],3,Entidade: Datamart Tratativa - Parte 3 (Fornecedores e Materiais) - TAMANHO: G,Dev Fullstack,Dev 4,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 4],4,Entidade: Datamart Tratativa - Parte 4 (Documentos de Compra) - TAMANHO: G,Dev Fullstack,Dev 5,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 5],5,"Entidade: Datamart Tratativa - Parte 5 (Curva de Compra Base - Curva, Histórico e Causais) - TAMANHO: G",Dev Fullstack,Dev 6,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 6],6,Entidade: Datamart Tratativa - Parte 6 (Curva de Compra Mensal e Despivotada) - TAMANHO: M,Dev Fullstack,Dev 7,6.0,09/03/2026,16/03/2026
Squad 1,COMPRAS,[COMPRAS - 7],7,Entidade: Datamart Tratativa - Parte 7 (Variação e Programação) - TAMANHO: G,Dev Fullstack,Dev 8,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 8],8,Entidade: Datamart Tratativa - Parte 8 (APV - Análise Preço Volume) - TAMANHO: G,Dev Fullstack,Dev 9,10.0,09/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 9],9,Entidade: RDA (Requisição de Autorização) - TAMANHO: G,Dev Fullstack,Dev 10,7.0,09/03/2026,17/03/2026
Squad 1,COMPRAS,[COMPRAS - 10],10,Entidade: Estrutura Veicular - TAMANHO: P,Dev Fullstack,Dev 7,2.0,17/03/2026,18/03/2026
Squad 1,COMPRAS,[COMPRAS - 11],11,Entidade: Flow Causais (MySQL) - TAMANHO: M,Dev Fullstack,Dev 10,6.0,18/03/2026,25/03/2026
Squad 1,COMPRAS,[COMPRAS - 12],12,Entidade: Integração TM1 (IBM Planning Analytics) - TAMANHO: P,Dev Fullstack,Dev 7,2.0,19/03/2026,20/03/2026
Squad 1,COMPRAS,[COMPRAS - 13],13,Entidade: Integração Power BI (Material Indireto) - TAMANHO: G,Dev Fullstack,Dev 2,8.0,23/03/2026,01/04/2026
